field	value	hex_color
continent	Africa	#C5490C
continent	Asia	#A6C50C
continent	Europe	#0CC549
continent	Europe/Asia	#0CA6C5
continent	North America	#0C0CC5
continent	Oceania	#A60CC5
continent	South America	#C50C49
country	Cameroon	#662200
country	Comoros	#A73C07
country	Ghana	#E25713
country	Kenya	#E88454
country	South Africa	#ECB398
country	Uganda	#F5E0D6
country	Bhutan	#556600
country	Cambodia	#677B02
country	China	#788F04
country	Hong Kong	#89A306
country	India	#99B609
country	Iran	#AAC80D
country	Israel	#B9DB11
country	Japan	#C7E919
country	Malaysia	#CAE830
country	Mongolia	#CEE847
country	Nepal	#D2E85D
country	Philippines	#D6E972
country	Saudi Arabia	#DAEA87
country	Singapore	#DFEC9C
country	South Korea	#E4EFB0
country	Taiwan	#EAF2C3
country	Thailand	#F0F5D6
country	Belgium	#006622
country	Bulgaria	#027E2B
country	Denmark	#049534
country	France	#07AB3E
country	Germany	#0BC147
country	Greece	#10D551
country	Italy	#15EA5B
country	Poland	#30E86D
country	Portugal	#4AE87E
country	Slovakia	#63E88F
country	Slovenia	#7BEA9F
country	Spain	#93EBB0
country	Switzerland	#AAEEC0
country	Ukraine	#C0F1D0
country	United Kingdom	#D6F5E0
country	Russia	#078CA7
country	Turkey	#98DEEC
country	Mexico	#030387
country	Nicaragua	#3030E8
country	USA	#B8B8F0
country	Australia	#550066
country	New Caledonia	#A60CC5
country	New Zealand	#D054E8
country	Papua New Guinea	#E7B8F0
country	Brazil	#A7073C
country	Peru	#EC98B3
data_use	open	#0C88C5
data_use	restricted	#C50C0C
host	Homo sapiens	#C5690C
host	Sus scrofa	#C50C69
lineage_truncated	A	#C50C0C
lineage_truncated	A.1	#C52B0C
lineage_truncated	A.2	#C5490C
lineage_truncated	A.3	#C5690C
lineage_truncated	B	#88C50C
lineage_truncated	C	#0CC52B
lineage_truncated	C.1	#0CC588
lineage_truncated	C.2	#0CA6C5
lineage_truncated	C.3	#0C2BC5
lineage_truncated	C.4	#0C0CC5
lineage_truncated	C.5	#690CC5
lineage	A	#C50C0C
lineage	A.1	#C52B0C
lineage	A.2	#C5490C
lineage	A.3	#663300
lineage	A.3.1	#B66009
lineage	A.3.1.1	#E88E30
lineage	A.3.2	#EABA87
lineage	A.3.3	#F5E6D6
lineage	B	#88C50C
lineage	C	#0CC52B
lineage	C.1	#0CC588
lineage	C.2	#0CA6C5
lineage	C.3	#0721A7
lineage	C.3.1	#98A5EC
lineage	C.4	#0C0CC5
lineage	C.5	#330066
lineage	C.5.1	#4A048F
lineage	C.5.2	#6009B6
lineage	C.5.3	#7711DB
lineage	C.5.4	#8E30E8
lineage	C.5.5	#A45DE8
lineage	C.5.6	#BA87EA
lineage	C.5.6.1	#D0B0EF
lineage	C.5.7	#E6D6F5
source	ITpS	#69C50C
source	NCBI	#C5690C
